index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
1,NCC,EQ,2017-05-16,97.35,98.15,100.8,97.1,100.6,100.4,99.01,8251673,817007444.25,28908,2698728,32.71,5,2017,823379437.5166668,3.1330251669234865,Among top gainers
2,NCC,EQ,2017-05-17,100.4,100.95,103.65,100.1,101.35,101.45,102.05,9866001,1006802565.15,40313,3276414,33.21,5,2017,1006496535.35,1.045816733067717,Positive
3,NCC,EQ,2017-05-18,101.45,99.8,100.85,96.55,96.9,97.0,98.8,4163676,411364891.55,18977,1196998,28.75,5,2017,413106053.79999995,-4.386397240019713,Among top losers
4,NCC,EQ,2017-05-19,97.0,97.8,99.25,94.25,95.7,95.45,96.53,3782348,365114174.7,19517,706203,18.67,5,2017,368778930.0,-1.5979381443298912,Negative
5,NCC,EQ,2017-05-22,95.45,96.0,97.95,94.65,95.0,95.25,96.56,3829849,369811145.85,16697,1116014,29.14,5,2017,369197443.59999996,-0.20953378732321282,Slight or No change
6,NCC,EQ,2017-05-23,95.25,95.0,95.0,89.2,89.65,90.95,91.94,5042864,463628116.45,18975,1159894,23.0,5,2017,472264213.59999996,-4.5144356955380545,Among top losers
7,NCC,EQ,2017-05-24,90.95,87.05,87.9,80.2,83.95,83.25,83.91,11587471,972301570.35,45469,3024219,26.1,5,2017,997295004.0666666,-8.466190214403523,Bear drop
8,NCC,EQ,2017-05-25,83.25,83.4,86.9,77.9,85.75,85.85,83.8,16966835,1421897577.9,48995,5495472,32.39,5,2017,1448684928.4166665,3.123123123123106,Among top gainers
9,NCC,EQ,2017-05-26,85.85,86.0,88.05,85.1,87.45,87.6,86.8,3286675,285273174.45,12678,515820,15.69,5,2017,286652837.9166666,2.038439138031456,Positive
10,NCC,EQ,2017-05-29,87.6,87.9,88.4,84.55,85.25,85.1,86.27,2762009,238289375.65,10291,639940,23.17,5,2017,240663050.86666664,-2.853881278538817,Negative
11,NCC,EQ,2017-05-30,85.1,85.75,85.75,82.7,84.65,84.3,84.02,3156651,265236617.65,13025,583882,18.5,5,2017,269157108.6,-0.9400705052878933,Slight negative
12,NCC,EQ,2017-05-31,84.3,84.5,88.5,84.5,87.8,87.9,87.24,5956202,519616953.0,22518,1372268,23.04,5,2017,517991033.9333333,4.270462633451966,Among top gainers
13,NCC,EQ,2017-06-01,87.9,87.7,88.45,86.65,86.85,86.85,87.33,2406887,210193700.25,12120,696095,28.92,6,2017,211003760.33333334,-1.1945392491467755,Negative
14,NCC,EQ,2017-06-02,86.85,87.7,89.5,86.6,87.65,88.0,88.13,7742009,682298250.2,22081,3531831,45.62,6,2017,684393595.5999999,1.3241220495106676,Positive
15,NCC,EQ,2017-06-05,88.0,88.1,88.35,86.8,87.05,87.1,87.62,2289444,200591410.6,16039,622945,27.21,6,2017,201127655.39999995,-1.0227272727272751,Negative
16,NCC,EQ,2017-06-06,87.1,86.9,87.5,84.15,85.1,85.0,85.56,3517344,300934702.6,15192,654428,18.61,6,2017,304133011.1999999,-2.411021814006886,Negative
17,NCC,EQ,2017-06-07,85.0,85.1,88.8,84.8,87.0,87.55,86.49,6046788,522976753.95,21679,1997240,33.03,6,2017,526977574.1999999,3.0000000000000027,Among top gainers
18,NCC,EQ,2017-06-08,87.55,87.25,87.45,85.75,86.05,86.15,86.39,2057305,177732426.35,8203,423793,20.6,6,2017,178882669.75,-1.599086236436309,Negative
19,NCC,EQ,2017-06-09,86.15,86.0,91.25,85.6,90.75,90.5,89.68,13217751,1185312182.8,41385,2793732,21.14,6,2017,1179684276.75,5.04933255948925,Among top gainers
20,NCC,EQ,2017-06-12,90.5,90.85,93.2,90.05,91.35,91.2,91.75,7056436,647403016.0,26900,1822078,25.82,6,2017,647428003.0,0.773480662983439,Slight positive
21,NCC,EQ,2017-06-13,91.2,91.85,93.05,90.4,91.15,90.65,91.93,3998221,367540426.0,17934,1223644,30.6,6,2017,367236598.8499999,-0.6030701754385914,Slight negative
23,NCC,EQ,2017-06-14,90.65,90.9,92.0,89.8,90.75,90.6,90.85,4277038,388553775.65,15519,1563120,36.55,6,2017,389923297.6666667,-0.055157198014355036,Slight or No change
24,NCC,EQ,2017-06-15,90.6,90.4,91.55,89.5,90.45,90.5,90.45,3035635,274558624.95,13333,1250780,41.2,6,2017,275686251.9166666,-0.1103752759381793,Slight or No change
25,NCC,EQ,2017-06-16,90.5,90.5,92.0,89.75,90.1,90.3,90.83,3720466,337942467.8,21999,1505707,40.47,6,2017,338314374.93333334,-0.22099447513812542,Slight or No change
26,NCC,EQ,2017-06-19,90.3,91.0,91.9,90.45,91.6,91.25,91.14,2366151,215644037.05,10013,1023235,43.24,6,2017,216226765.54999998,1.0520487264673362,Positive
27,NCC,EQ,2017-06-20,91.25,92.95,92.95,89.95,90.7,91.0,91.68,4540548,416297534.0,16439,1840808,40.54,6,2017,419092580.4,-0.2739726027397249,Slight or No change
